title,revenue,budget,genres,release_date,original_language,profit
Collateral,217764291,65000000,"Drama, Crime, Thriller",8/4/2004,en,152764291
Barbie,1428545028,145000000,"Comedy, Adventure, Fantasy",7/19/2023,en,1283545028
Uncharted,407141258,120000000,"Action, Adventure",2/10/2022,en,287141258
Alien³,159773545,50000000,"Science Fiction, Action, Horror",5/22/1992,en,109773545
The Princess and the Frog,270997378,105000000,"Romance, Family, Animation",12/8/2009,en,165997378
Apocalypto,120673227,40000000,"Action, Drama, History",12/7/2006,en,80673227
Due Date,211780824,65000000,"Comedy, Drama",11/3/2010,en,146780824
Citizen Kane,23218000,839727,"Mystery, Drama",4/17/1941,en,22378273
The Adventures of Tintin,373993951,130000000,"Adventure, Animation, Mystery",10/24/2011,en,243993951
The Matrix Resurrections,156497322,190000000,"Science Fiction, Action, Adventure",12/16/2021,en,-33502678
Mars Attacks!,101371017,70000000,"Comedy, Fantasy, Science Fiction",12/13/1996,en,31371017
Sinister,82515113,3000000,"Horror, Thriller, Mystery",3/29/2012,en,79515113
Creed II,214215889,50000000,"Drama, Action",11/21/2018,en,164215889
Apollo 13,355237933,52000000,"Drama, History",6/30/1995,en,303237933
Brother Bear,250397798,128000000,"Adventure, Animation, Family",10/23/2003,en,122397798
Peter Pan,87404651,4000000,"Animation, Family, Adventure, Fantasy",2/5/1953,en,83404651
Halloween,70274000,325000,"Horror, Thriller",10/24/1978,en,69949000
Non-Stop,222809600,50000000,"Action, Thriller, Mystery",2/26/2014,en,172809600
Gifted,40343446,7000000,"Drama, Comedy",4/12/2017,en,33343446
The Island,162949164,126000000,"Action, Thriller, Science Fiction, Adventure",7/21/2005,en,36949164
The World's End,46089287,20000000,"Comedy, Action, Science Fiction",7/18/2013,en,26089287
Les Misérables,441809770,61000000,"History, Drama",12/18/2012,en,380809770
Anastasia,139804348,53000000,"Animation, Family, Fantasy, Adventure",11/20/1997,en,86804348
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262552893,18000000,Comedy,11/1/2006,en,244552893
Guardians of the Galaxy Vol. 3,845430302,250000000,"Science Fiction, Adventure, Action",5/3/2023,en,595430302
American Gangster,266465037,100000000,"Drama, Crime",11/2/2007,en,166465037
Hook,300855000,70000000,"Adventure, Fantasy, Comedy, Family",4/10/1991,en,230855000
Casablanca,10462500,878000,"Drama, Romance",1/15/1943,en,9584500
Bad Boys II,273339556,130000000,"Adventure, Action, Comedy, Thriller, Crime",7/18/2003,en,143339556
The Purge: Election Year,118587880,10000000,"Action, Horror, Thriller",6/29/2016,en,108587880
The Aviator,213700000,110000000,Drama,12/17/2004,en,103700000
The Transporter,43928932,21000000,"Action, Crime, Thriller",10/2/2002,en,22928932
Knowing,155446362,50000000,"Action, Mystery, Science Fiction, Thriller",3/19/2009,en,105446362
First Man,105713218,70000000,"History, Drama",10/10/2018,en,35713218
Chronicle,145000000,15000000,"Science Fiction, Drama, Thriller",2/1/2012,en,130000000
True Grit,252276927,38000000,"Drama, Adventure, Western",12/22/2010,en,214276927
Orphan,77912251,20000000,"Horror, Thriller, Mystery",7/24/2009,en,57912251
Paper Towns,85512300,12000000,"Mystery, Drama, Romance",6/18/2015,en,73512300
Lady and the Tramp,36359037,4000000,"Family, Animation, Romance",6/22/1955,en,32359037
Once Upon a Time in America,5500000,30000000,"Drama, Crime",5/23/1984,en,-24500000
Percy Jackson: Sea of Monsters,199850315,90000000,"Adventure, Family, Fantasy",8/7/2013,en,109850315
The Favourite,95918706,15000000,"Drama, Comedy, Thriller",11/23/2018,en,80918706
Boyhood,48137666,4000000,Drama,6/5/2014,en,44137666
Face/Off,245676146,80000000,"Action, Crime, Science Fiction",6/27/1997,en,165676146
Bullet Train,239268602,90000000,"Action, Comedy, Thriller",8/3/2022,en,149268602
Fantastic Mr. Fox,46471023,40000000,"Adventure, Animation, Comedy, Family",10/23/2009,en,6471023
Saw II,147748505,4000000,Horror,10/28/2005,en,143748505
Escape Plan,137328301,50000000,"Action, Thriller",10/9/2013,en,87328301
The Shallows,119100758,17000000,"Horror, Drama, Thriller",6/24/2016,en,102100758
17 Again,136316880,20000000,Comedy,3/11/2009,en,116316880
Sleeping Beauty,51600000,6000000,"Fantasy, Animation, Romance, Family",2/17/1959,en,45600000
Hellboy II: The Golden Army,160388063,85000000,"Fantasy, Horror, Adventure, Action",7/11/2008,en,75388063
Batman Forever,336529144,100000000,"Action, Crime, Fantasy",6/16/1995,en,236529144
Darkest Hour,150847207,30000000,"Drama, History",11/22/2017,en,120847207
National Treasure: Book of Secrets,459242249,130000000,"Action, Adventure, Mystery, Thriller",12/13/2007,en,329242249
13 Going on 30,96455697,37000000,"Comedy, Fantasy, Romance",4/13/2004,en,59455697
Happy Feet,384335608,100000000,"Animation, Comedy, Family",11/16/2006,en,284335608
The Great Wall,331957105,150000000,"Action, Adventure, Fantasy",12/16/2016,en,181957105
Wind River,44998252,11000000,"Crime, Drama, Mystery, Thriller",8/3/2017,en,33998252
Gemini Man,173469516,140000000,"Science Fiction, Action, Adventure, Thriller",10/2/2019,en,33469516
Daredevil,179179718,78000000,"Fantasy, Action",2/14/2003,en,101179718
Cowboys & Aliens,174822325,163000000,"Action, Science Fiction, Thriller, Western",7/29/2011,en,11822325
Love & Other Drugs,102820008,30000000,"Drama, Comedy, Romance",11/22/2010,en,72820008
Death Proof,31126421,25000000,"Action, Thriller",5/22/2007,en,6126421
Lemony Snicket's A Series of Unfortunate Events,209073645,140000000,"Adventure, Comedy, Family",12/16/2004,en,69073645
Romeo + Juliet,147298761,14500000,"Drama, Romance",11/1/1996,en,132798761
Bloodshot,39861118,42000000,"Action, Science Fiction, Adventure",3/5/2020,en,-2138882
Paranormal Activity,193355800,215000,"Horror, Mystery",9/14/2007,en,193140800
Man on Fire,130293714,70000000,"Action, Drama, Thriller",4/23/2004,en,60293714
Dredd,41037742,50000000,"Action, Science Fiction",9/7/2012,en,-8962258
The Aristocats,55675257,4000000,"Animation, Comedy, Family, Adventure",12/24/1970,en,51675257
The Dark Tower,113231078,60000000,"Fantasy, Action, Science Fiction",8/3/2017,en,53231078
Jack the Giant Slayer,197687603,195000000,"Fantasy, Action, Adventure, Family",2/27/2013,en,2687603
Crimson Peak,74679822,55000000,"Horror, Romance",10/13/2015,en,19679822
Terminator: Dark Fate,261119292,185000000,"Science Fiction, Action",10/23/2019,en,76119292
Moneyball,110206216,50000000,Drama,9/23/2011,en,60206216
The Equalizer 2,190400157,62000000,"Action, Thriller, Crime",7/19/2018,en,128400157
In Bruges,34533783,15000000,"Comedy, Drama, Crime",2/8/2008,en,19533783
John Wick: Chapter 4,426978565,90000000,"Action, Thriller, Crime",3/22/2023,en,336978565
Law Abiding Citizen,127944208,53000000,"Drama, Crime, Thriller",10/15/2009,en,74944208
The Sorcerer's Apprentice,215283742,150000000,"Fantasy, Adventure, Action",7/13/2010,en,65283742
Bridget Jones's Diary,281929795,25000000,"Comedy, Romance, Drama",4/13/2001,en,256929795
The Mist,57470220,18000000,"Horror, Science Fiction, Thriller",11/21/2007,en,39470220
Wrath of Man,103966489,40000000,"Crime, Thriller, Action",4/22/2021,en,63966489
Bram Stoker's Dracula,215862692,40000000,"Romance, Horror",11/13/1992,en,175862692
Batman & Robin,238207122,125000000,"Action, Science Fiction, Adventure, Comedy",6/20/1997,en,113207122
Skyscraper,292351275,125000000,"Action, Thriller",7/11/2018,en,167351275
The Town,154026136,37000000,"Crime, Drama, Thriller",9/15/2010,en,117026136
A Nightmare on Elm Street,57000000,1100000,Horror,11/9/1984,en,55900000
The Hunchback of Notre Dame,325338851,100000000,"Drama, Animation, Family",6/21/1996,en,225338851
The Expendables 3,214700000,95000000,"Action, Adventure, Thriller",8/7/2014,en,119700000
Meet Joe Black,142940100,90000000,"Fantasy, Drama, Romance",11/12/1998,en,52940100
The Lego Batman Movie,311950384,80000000,"Animation, Action, Comedy, Family",2/8/2017,en,231950384
The Mule,174804407,50000000,"Crime, Drama",12/14/2018,en,124804407
The Holiday,194168700,85000000,"Comedy, Romance",12/8/2006,en,109168700
Dumbo,1600000,812000,"Animation, Family",10/31/1941,en,788000
There's Something About Mary,369884651,23000000,"Romance, Comedy",7/15/1998,en,346884651
The Princess Diaries,165335153,37000000,"Comedy, Family, Romance",8/3/2001,en,128335153
The Huntsman: Winter's War,164989338,115000000,"Action, Adventure, Drama",4/6/2016,en,49989338
Everest,203427584,55000000,"Adventure, Drama, History",9/10/2015,en,148427584
RoboCop,53424681,13000000,"Action, Thriller, Science Fiction",7/17/1987,en,40424681
American Pie 2,287553595,30000000,"Comedy, Romance",8/10/2001,en,257553595
The Place Beyond the Pines,47135966,15000000,"Drama, Crime",3/14/2013,en,32135966
Glass Onion: A Knives Out Mystery,13280000,40000000,"Comedy, Crime, Mystery",11/12/2022,en,-26720000
The Illusionist,87892388,16500000,"Fantasy, Drama, Thriller, Romance",8/18/2006,en,71392388
Pacific Rim: Uprising,290061297,150000000,"Action, Fantasy, Science Fiction, Adventure",3/21/2018,en,140061297
Panic Room,197079546,48000000,"Crime, Drama, Thriller",3/29/2002,en,149079546
Bee Movie,287594577,150000000,"Family, Animation, Adventure, Comedy",10/28/2007,en,137594577
War Dogs,86234523,40000000,"Comedy, Crime, Drama",8/18/2016,en,46234523
Chicken Run,224834564,45000000,"Animation, Comedy, Family",6/23/2000,en,179834564
Jack Reacher: Never Go Back,162146076,60000000,"Action, Thriller",10/19/2016,en,102146076
Turning Red,18879922,190000000,"Animation, Family, Comedy, Fantasy",3/10/2022,en,-171120078
Ferris Bueller's Day Off,70136369,6000000,Comedy,6/11/1986,en,64136369
Men in Black: International,253890701,110000000,"Comedy, Science Fiction, Action",6/12/2019,en,143890701
Journey to the Center of the Earth,101702060,45000000,"Action, Science Fiction, Adventure, Comedy, Family",7/10/2008,en,56702060
The Founder,24121245,15000000,"Drama, History",9/13/2016,en,9121245
L.A. Confidential,126216940,35000000,"Crime, Mystery, Thriller",9/19/1997,en,91216940
Geostorm,221600160,120000000,"Action, Science Fiction, Thriller",10/12/2017,en,101600160
Meet the Fockers,516642939,80000000,"Comedy, Romance",12/22/2004,en,436642939
Isle of Dogs,64337744,62770198,"Adventure, Comedy, Animation",3/23/2018,en,1567546
White House Down,205366737,150000000,"Action, Drama, Thriller",6/27/2013,en,55366737
London Has Fallen,205754447,60000000,"Action, Thriller",3/2/2016,en,145754447
Bad Teacher,216197492,20000000,Comedy,5/16/2011,en,196197492
Shooter,95696996,61000000,"Action, Drama, Mystery, Thriller, Crime",3/22/2007,en,34696996
Sucker Punch,89792502,82000000,"Action, Fantasy, Thriller",3/24/2011,en,7792502
Spider-Man: Across the Spider-Verse,683241751,100000000,"Animation, Action, Adventure",5/31/2023,en,583241751
Starship Troopers,121214377,105000000,"Adventure, Action, Thriller, Science Fiction",11/7/1997,en,16214377
No Strings Attached,149228077,25000000,"Comedy, Romance",1/21/2011,en,124228077
Alien Resurrection,162000000,70000000,"Science Fiction, Horror, Action",11/12/1997,en,92000000
Rush Hour,244721064,33000000,"Action, Comedy, Crime",9/18/1998,en,211721064
The Visit,98450062,5000000,"Horror, Mystery",9/10/2015,en,93450062
Bridge to Terabithia,137587063,60000000,"Adventure, Drama, Family",2/15/2007,en,77587063
I Am Number Four,149878437,50000000,"Action, Thriller, Science Fiction, Adventure",2/18/2011,en,99878437
Déjà Vu,180557550,75000000,"Action, Thriller, Science Fiction",11/22/2006,en,105557550
The Blair Witch Project,248639099,60000,"Horror, Mystery",7/14/1999,en,248579099
The Lighthouse,18129854,11000000,"Drama, Fantasy, Thriller, Horror",10/18/2019,en,7129854
Mary Poppins,103082380,6000000,"Comedy, Family, Fantasy",12/17/1964,en,97082380
Halloween,259900000,10000000,"Horror, Thriller",10/18/2018,en,249900000
Atlantis: The Lost Empire,186053725,120000000,"Animation, Family, Adventure, Science Fiction",6/2/2001,en,66053725
Blade II,155010032,54000000,"Fantasy, Horror, Action, Thriller",3/22/2002,en,101010032
Cube,8969065,350000,"Thriller, Science Fiction, Mystery",9/9/1997,en,8619065
G.I. Joe: The Rise of Cobra,302469017,175000000,"Adventure, Action, Thriller, Science Fiction",8/3/2009,en,127469017
Hannibal,351692268,87000000,"Crime, Drama, Thriller",2/8/2001,en,264692268
21,159808370,35000000,"Drama, Crime",3/27/2008,en,124808370
Escape Room,155712077,9000000,"Horror, Thriller, Mystery",1/3/2019,en,146712077
Marley & Me,255743093,60000000,"Comedy, Family",12/25/2008,en,195743093
The A-Team,177238796,110000000,"Thriller, Action, Adventure, Comedy, Crime",6/9/2010,en,67238796
Insomnia,113714830,46000000,"Thriller, Crime",5/24/2002,en,67714830
Burn After Reading,163720069,37000000,"Comedy, Drama",9/5/2008,en,126720069
Rocketman,167323950,40000000,"Music, Drama, History",5/17/2019,en,127323950
Monsters vs Aliens,381509870,175000000,"Animation, Family, Adventure, Science Fiction",3/19/2009,en,206509870
Mortal Engines,83869818,100000000,"Adventure, Science Fiction",11/27/2018,en,-16130182
The Mortal Instruments: City of Bones,95396573,60000000,"Fantasy, Action, Mystery",8/21/2013,en,35396573
The Post,179769467,50000000,"Drama, History",12/22/2017,en,129769467
Casper,287928194,50000000,"Fantasy, Comedy, Family",5/26/1995,en,237928194
The Predator,160542134,88000000,"Science Fiction, Action, Adventure",9/5/2018,en,72542134
Lord of War,72617068,50000000,"Crime, Drama, Thriller",9/16/2005,en,22617068
Robin Hood,321669741,200000000,"Action, Adventure, Drama",5/12/2010,en,121669741
Uncut Gems,50020902,19000000,"Drama, Thriller, Crime",8/30/2019,en,31020902
The Golden Compass,372234864,180000000,"Adventure, Fantasy",12/4/2007,en,192234864
Exodus: Gods and Kings,268031828,140000000,"Adventure, Drama, Action",12/3/2014,en,128031828
Allied,119520023,85000000,"Action, Drama, War, Romance, Thriller",11/17/2016,en,34520023
Scary Movie 2,141220678,45000000,Comedy,7/4/2001,en,96220678
The Lovely Bones,93621340,65000000,"Fantasy, Drama",12/26/2009,en,28621340
Spirit: Stallion of the Cimarron,122563539,80000000,"Animation, Adventure, Comedy, Family, Drama",5/24/2002,en,42563539
Fear and Loathing in Las Vegas,10680275,18500000,"Adventure, Drama, Comedy",5/22/1998,en,-7819725
The Rock,335062621,75000000,"Action, Adventure, Thriller",6/7/1996,en,260062621
The Giver,66980456,25000000,"Drama, Science Fiction",8/13/2014,en,41980456
Evil Dead,97542952,17000000,Horror,4/5/2013,en,80542952
Sonic the Hedgehog 2,405421518,110000000,"Action, Adventure, Family, Comedy",4/8/2022,en,295421518
Moulin Rouge!,179213434,52500000,"Drama, Romance, Music",5/24/2001,en,126713434
Deepwater Horizon,121790373,110000000,"Drama, Action",9/28/2016,en,11790373
The DUFF,43528634,8500000,"Romance, Comedy",2/20/2015,en,35028634
Robots,262511490,75000000,"Animation, Comedy, Family, Science Fiction",3/10/2005,en,187511490
Carrie,82394288,30000000,"Drama, Horror",10/16/2013,en,52394288
The Circle,40651864,18000000,"Drama, Thriller, Science Fiction",4/27/2017,en,22651864
Power Rangers,142337240,105000000,"Action, Adventure, Science Fiction",3/23/2017,en,37337240
The Adjustment Bureau,127869379,50200000,"Science Fiction, Thriller, Romance",3/3/2011,en,77669379
Perfume: The Story of a Murderer,135039924,60000000,"Crime, Fantasy, Drama",9/13/2006,en,75039924
Warrior,23308615,25000000,"Drama, Action",9/9/2011,en,-1691385
The Royal Tenenbaums,71441250,21000000,"Comedy, Drama",10/5/2001,en,50441250
The Princess Bride,30861665,16000000,"Adventure, Family, Fantasy, Comedy, Romance",9/25/1987,en,14861665
Ice Age: Collision Course,408579038,105000000,"Adventure, Animation, Family, Comedy, Science Fiction",6/23/2016,en,303579038
Misery,61276872,20000000,"Drama, Thriller",11/30/1990,en,41276872
A Christmas Carol,325286646,200000000,"Animation, Family, Fantasy",11/4/2009,en,125286646
Neighbors 2: Sorority Rising,108758521,35000000,Comedy,5/4/2016,en,73758521
Lethal Weapon,120207127,15000000,"Adventure, Action, Comedy, Thriller, Crime",3/6/1987,en,105207127
The Black Phone,161440742,17000000,"Horror, Thriller",6/22/2022,en,144440742
Zero Dark Thirty,132820716,40000000,"Thriller, Drama, History",12/19/2012,en,92820716
Equilibrium,5359645,20000000,"Action, Science Fiction, Thriller",12/6/2002,en,-14640355
The Addams Family,191502426,30000000,"Comedy, Fantasy",11/22/1991,en,161502426
Knight and Day,261989769,117000000,"Action, Comedy",6/15/2010,en,144989769
Over the Hedge,343397247,80000000,"Family, Comedy, Animation",5/17/2006,en,263397247
American Made,133511855,50000000,"Action, Comedy, Crime, Drama, Thriller",8/18/2017,en,83511855
American Reunion,234989584,50000000,Comedy,4/4/2012,en,184989584
Antz,171757863,60000000,"Adventure, Animation, Comedy, Family",10/2/1998,en,111757863
Alvin and the Chipmunks,361366633,60000000,"Comedy, Family, Fantasy, Animation",12/13/2007,en,301366633
Public Enemies,214104620,100000000,"Crime, Action",7/1/2009,en,114104620
Dirty Grandpa,94073028,11500000,Comedy,1/20/2016,en,82573028
Hell or High Water,37589296,12000000,"Western, Crime, Drama",8/11/2016,en,25589296
Pain & Gain,87305549,25000000,"Action, Crime, Comedy",4/18/2013,en,62305549
The Mummy: Tomb of the Dragon Emperor,403449830,145000000,"Adventure, Action, Fantasy",7/1/2008,en,258449830
The Commuter,119942387,30000000,"Action, Thriller, Mystery",1/11/2018,en,89942387
Bridesmaids,288383523,32500000,"Comedy, Romance",5/13/2011,en,255883523
Zoolander,60780981,28000000,Comedy,9/28/2001,en,32780981
Dumbo,353284621,170000000,"Family, Fantasy, Adventure",3/27/2019,en,183284621
Platoon,138530565,6000000,"Drama, War, Action",12/19/1986,en,132530565
Snowden,37357216,40000000,"Drama, History, Crime, Thriller",9/15/2016,en,-2642784
Scooby-Doo,275650703,84000000,"Mystery, Adventure, Comedy",6/14/2002,en,191650703
Stuart Little,300135367,133000000,"Family, Fantasy, Comedy, Adventure",12/17/1999,en,167135367
Pitch Black,53187659,23000000,"Thriller, Science Fiction, Action",2/18/2000,en,30187659
Into the Woods,212902372,50000000,"Fantasy, Comedy",12/24/2014,en,162902372
Wedding Crashers,288485135,40000000,"Comedy, Romance",7/13/2005,en,248485135
Airplane!,83453539,3500000,Comedy,7/2/1980,en,79953539
Hotel Transylvania 3: Summer Vacation,528600000,80000000,"Animation, Comedy, Family, Fantasy",6/28/2018,en,448600000
Need for Speed,203277636,66000000,"Action, Crime, Drama, Thriller",3/12/2014,en,137277636
Donnie Brasco,124909762,35000000,"Crime, Drama, Thriller",2/27/1997,en,89909762
Matilda,33459416,36000000,"Comedy, Family, Science Fiction",8/2/1996,en,-2540584
The Beach,144056873,40000000,"Drama, Adventure, Romance, Thriller",2/3/2000,en,104056873
Contact,171120329,90000000,"Drama, Science Fiction, Mystery",7/11/1997,en,81120329
Gone in Sixty Seconds,237202299,90000000,"Action, Crime, Thriller",6/9/2000,en,147202299
Robin Hood,32056467,5000000,"Animation, Family",11/8/1973,en,27056467
If I Stay,78274843,11000000,Drama,8/21/2014,en,67274843
The Fighter,93617009,25000000,Drama,12/10/2010,en,68617009
The Passion of the Christ,611899420,30000000,Drama,2/25/2004,en,581899420
Rocky IV,300473716,31000000,Drama,11/21/1985,en,269473716
Greenland,52300000,34000000,"Action, Thriller, Drama",7/29/2020,en,18300000
Clueless,56631572,12000000,"Comedy, Romance",7/19/1995,en,44631572
Saw III,164874275,10000000,"Horror, Thriller, Crime",10/26/2006,en,154874275
Ant-Man and the Wasp: Quantumania,476071180,200000000,"Action, Adventure, Science Fiction",2/15/2023,en,276071180
1408,132963417,25000000,"Horror, Mystery, Thriller",6/22/2007,en,107963417
Blow,83282296,53000000,"Crime, Drama",4/4/2001,en,30282296
AVP: Alien vs. Predator,177427090,70000000,"Adventure, Science Fiction, Action, Horror",8/12/2004,en,107427090
Life of Brian,20745728,4000000,Comedy,8/17/1979,en,16745728
Rocky II,85182160,7000000,Drama,6/15/1979,en,78182160
Doctor Sleep,72381712,45000000,"Horror, Thriller, Fantasy",10/30/2019,en,27381712
Lara Croft: Tomb Raider - The Cradle of Life,160099222,95000000,"Action, Adventure, Fantasy, Thriller",7/21/2003,en,65099222
Unforgiven,159157447,14400000,Western,8/7/1992,en,144757447
Being John Malkovich,22863596,13000000,"Comedy, Drama, Fantasy",10/29/1999,en,9863596
Resident Evil: Apocalypse,129394835,45000000,"Horror, Action, Science Fiction",9/10/2004,en,84394835
The Fly,60629159,15000000,"Horror, Science Fiction",8/15/1986,en,45629159
Coming to America,288752301,30000000,"Comedy, Romance",6/29/1988,en,258752301
Evan Almighty,174440724,175000000,"Fantasy, Comedy, Family",6/9/2007,en,-559276
Journey 2: The Mysterious Island,355692760,79000000,"Adventure, Action, Science Fiction",1/19/2012,en,276692760
Ghostbusters II,215394738,37000000,"Comedy, Fantasy",6/16/1989,en,178394738
The King's Man,125928656,100000000,"Action, Adventure, Thriller",12/22/2021,en,25928656
Dear John,114977104,25000000,"Drama, Romance, War",2/4/2010,en,89977104
The Internship,44000000,58000000,Comedy,6/7/2013,en,-14000000
Grown Ups 2,247022278,80000000,Comedy,7/11/2013,en,167022278
Sing 2,406000000,85000000,"Animation, Family",12/1/2021,en,321000000
Insidious: Chapter 2,161000000,5000000,"Horror, Thriller",9/12/2013,en,156000000
Lone Survivor,149295601,40000000,"War, Action, Drama, History",12/24/2013,en,109295601
One Day,59389433,15000000,"Drama, Romance",3/2/2011,en,44389433
Ready or Not,57615777,6000000,"Comedy, Horror, Thriller",8/21/2019,en,51615777
Philadelphia,206678440,26000000,Drama,12/22/1993,en,180678440
Wrath of the Titans,301970083,150000000,"Fantasy, Adventure",3/28/2012,en,151970083
Upgrade,16706680,5000000,"Action, Thriller, Science Fiction",5/31/2018,en,11706680
Mad Max,100000000,350000,"Adventure, Action, Thriller, Science Fiction",4/12/1979,en,99650000
Ghostbusters: Afterlife,191000000,75000000,"Fantasy, Comedy, Adventure",11/11/2021,en,116000000
Mama,146497771,15000000,Horror,1/17/2013,en,131497771
Steve Jobs,34441873,30000000,"Drama, History",10/9/2015,en,4441873
Bad Moms,183936074,20000000,Comedy,7/28/2016,en,163936074
Red Dragon,209196298,78000000,"Crime, Drama, Thriller",10/2/2002,en,131196298
Silent Hill,100605135,50000000,"Horror, Mystery",4/21/2006,en,50605135
28 Weeks Later,65048678,15000000,"Horror, Thriller, Science Fiction",4/26/2007,en,50048678
Breakfast at Tiffany's,9500000,2500000,"Comedy, Romance, Drama",10/6/1961,en,7000000
Fast X,704709660,340000000,"Action, Crime, Thriller",5/17/2023,en,364709660
Changeling,113398237,55000000,"Crime, Drama, Mystery",10/24/2008,en,58398237
Unbroken,163442937,65000000,"Drama, War",12/25/2014,en,98442937
A Simple Favor,97644617,20000000,"Crime, Thriller, Mystery, Comedy",8/29/2018,en,77644617
Sex Tape,126069509,40000000,Comedy,7/17/2014,en,86069509
Why Him?,118102725,38000000,Comedy,12/22/2016,en,80102725
Horrible Bosses 2,107670357,42000000,Comedy,11/12/2014,en,65670357
Raging Bull,23000000,18000000,Drama,11/14/1980,en,5000000
xXx,277448382,70000000,"Action, Adventure, Thriller",8/9/2002,en,207448382
It's a Wonderful Life,9644124,3180000,"Drama, Family, Fantasy",12/20/1946,en,6464124
Superman Returns,391081192,270000000,"Science Fiction, Action, Adventure",6/28/2006,en,121081192
Charlie's Angels,264105545,92000000,"Action, Adventure, Comedy, Crime, Thriller",11/2/2000,en,172105545
Old,90146510,18000000,"Thriller, Mystery, Horror",7/21/2021,en,72146510
Atonement,131016624,30000000,"Drama, Romance",9/7/2007,en,101016624
Amadeus,51973029,18000000,"History, Music, Drama",9/19/1984,en,33973029
Close Encounters of the Third Kind,306889114,20000000,"Science Fiction, Drama",11/18/1977,en,286889114
Dances with Wolves,424208848,22000000,"Adventure, Drama, Western",3/30/1990,en,402208848
The Edge of Seventeen,18803648,9000000,"Comedy, Drama",11/18/2016,en,9803648
The Other Guys,170432927,100000000,"Action, Comedy, Crime",8/6/2010,en,70432927
In the Heart of the Sea,93920758,100000000,"Thriller, Drama, Adventure, Action, History",12/3/2015,en,-6079242
Joy,101134059,60000000,"Drama, Comedy",12/24/2015,en,41134059
Invictus,122426792,60000000,"Drama, History",12/10/2009,en,62426792
Anchorman: The Legend of Ron Burgundy,90574188,26000000,Comedy,6/28/2004,en,64574188
Hercules,244819862,100000000,"Action, Adventure",7/23/2014,en,144819862
2 Guns,131940411,61000000,"Action, Comedy, Crime",8/2/2013,en,70940411
Penguins of Madagascar,373552094,132000000,"Family, Animation, Adventure, Comedy",11/22/2014,en,241552094
Gods of Egypt,150680864,140000000,"Action, Adventure, Fantasy",2/25/2016,en,10680864
The Fugitive,368875760,44000000,"Action, Thriller, Drama",8/6/1993,en,324875760
The Blues Brothers,115229890,27000000,"Music, Comedy, Action, Crime",6/16/1980,en,88229890
Fantastic Beasts: The Secrets of Dumbledore,406950844,200000000,"Fantasy, Adventure, Family",4/6/2022,en,206950844
Vanilla Sky,203388341,68000000,"Mystery, Science Fiction, Romance, Fantasy, Thriller, Drama",12/10/2001,en,135388341
Treasure Planet,109578115,140000000,"Adventure, Animation, Family, Fantasy, Science Fiction",11/26/2002,en,-30421885
The Karate Kid,130442786,8000000,"Action, Family, Drama",6/22/1984,en,122442786
Gangster Squad,105200903,60000000,"Crime, Drama, Action, Thriller",1/9/2013,en,45200903
"O Brother, Where Art Thou?",71870729,26000000,"Adventure, Comedy, Crime",8/30/2000,en,45870729
The Vow,196114570,30000000,"Drama, Romance",2/5/2012,en,166114570
Resident Evil: Extinction,148412065,45000000,"Horror, Action, Science Fiction",9/20/2007,en,103412065
The Parent Trap,92108518,15000000,"Comedy, Family",7/28/1998,en,77108518
Riddick,98337295,38000000,"Science Fiction, Action, Thriller",9/2/2013,en,60337295
American Wedding,231449203,55000000,"Comedy, Romance",8/1/2003,en,176449203
A Walk to Remember,47494916,11800000,"Drama, Romance",1/25/2002,en,35694916
The Village,256697520,60000000,"Drama, Mystery, Thriller",7/30/2004,en,196697520
A Million Ways to Die in the West,86410000,40000000,"Comedy, Western",5/22/2014,en,46410000
Ace Ventura: When Nature Calls,212385533,30000000,"Crime, Comedy, Adventure",11/10/1995,en,182385533
Underworld: Awakening,160112671,70000000,"Fantasy, Action, Horror",1/19/2012,en,90112671
Match Point,85306374,15000000,"Drama, Thriller, Crime, Romance",10/26/2005,en,70306374
Kingdom of Heaven,218122627,130000000,"Drama, Action, Adventure, History, War",5/3/2005,en,88122627
Oppenheimer,933700000,100000000,"Drama, History",7/19/2023,en,833700000
The Host,63327201,44000000,"Action, Adventure, Science Fiction",3/22/2013,en,19327201
Con Air,224012234,75000000,"Action, Thriller, Crime",6/5/1997,en,149012234
Truth or Dare,95330493,3500000,"Thriller, Horror",4/12/2018,en,91830493
RED 2,148100000,84000000,"Action, Comedy, Crime, Thriller",7/18/2013,en,64100000
Rocky III,270000000,17000000,Drama,5/28/1982,en,253000000
Scary Movie 3,220673217,48000000,Comedy,10/24/2003,en,172673217
Stardust,137515140,70000000,"Adventure, Fantasy, Romance, Family",8/9/2007,en,67515140
The Judge,83719388,50000000,Drama,10/8/2014,en,33719388
Lucky Number Slevin,56308881,27000000,"Drama, Thriller, Crime, Mystery",2/24/2006,en,29308881
North by Northwest,13275000,4000000,"Mystery, Thriller",7/8/1959,en,9275000
Predators,127233108,40000000,"Science Fiction, Action, Thriller",7/3/2010,en,87233108
Space Jam: A New Legacy,163692228,150000000,"Family, Animation, Comedy, Science Fiction",7/8/2021,en,13692228
The Chronicles of Riddick,115772733,105000000,"Action, Science Fiction",6/11/2004,en,10772733
Before Sunrise,5987386,2500000,"Drama, Romance",1/27/1995,en,3487386
Underworld: Evolution,111476513,50000000,"Fantasy, Action, Thriller",1/12/2006,en,61476513
